Index, CenterX, CenterY, CenterZ, NormalX, NormalY, NormalZ, RMS, Horiz_ext, Vert_ext, Surf_ext, Surface, Dip dir., Dip
1805,947.904,813.332,895.177,-0.721725,0.655628,0.221957,0.0142519,0.613015,0.369959,0.22679,0.105742,312,77
1803,949.067,813.989,894.312,0.484257,-0.869698,0.0955012,0.0122624,0.29906,0.463726,0.138682,0.094109,150,84
1802,945.305,810.896,896.009,0.075106,-0.913076,0.400814,0.0246037,0.329288,0.56132,0.184836,0.122568,175,66
1801,947.199,811.736,894.137,-0.606976,0.610813,-0.508417,0.0149601,0.630529,0.345331,0.217741,0.106359,135,59
1798,949.412,814.599,893.157,-0.88824,-0.0398007,-0.457653,0.0100432,0.293784,0.400567,0.11768,0.0926906,87,62
1797,950.325,817.665,894.713,-0.746115,-0.0893018,-0.659801,0.0191564,0.751353,0.967106,0.726638,0.361209,83,48
1794,952.001,819.106,893.536,-0.576939,0.722965,-0.380083,0.00724546,0.18632,0.225209,0.041961,0.0307123,141,67
1793,936.671,806.901,893.626,-0.773412,0.631253,0.0579136,0.0265873,1.08058,1.11314,1.20284,0.611237,309,86
1792,945.349,810.427,895.233,-0.379799,0.634784,-0.672906,0.0330693,0.792389,0.895746,0.709779,0.301563,149,47
1790,949.761,815.388,894.038,-0.983362,-0.153882,0.0965336,0.0177074,0.229117,0.21309,0.0488226,0.0458976,261,84
1788,944.564,809.008,894.018,-0.803426,0.590364,0.0773179,0.0112355,0.15047,0.166882,0.0251107,0.0208267,306,85
1786,952.617,823.572,894.881,-0.70099,0.1721,-0.692094,0.0179443,0.643855,0.589976,0.379859,0.238341,103,46
1784,946.452,811.365,895.129,-0.895484,0.435396,0.0924027,0.0174781,0.335259,0.284609,0.0954178,0.0590995,295,84
1782,949.458,816.808,897.659,-0.842656,0.53839,0.00815315,0.0157509,0.287837,0.228646,0.0658126,0.0481361,302,89
1781,944.101,808.702,893.484,-0.0341081,-0.982434,-0.183464,0.0155113,0.160216,0.154289,0.0247196,0.0231761,1,79
1779,943.771,808.444,894.525,0.486109,-0.434454,-0.758253,0.00803321,0.235296,0.198734,0.0467613,0.0244297,311,40
2027,952.443,821.343,895.111,-0.656689,0.235587,-0.71642,0.0174554,0.742067,0.933006,0.692353,0.353631,109,44
1778,941.729,808.04,897.118,0.896289,-0.372247,-0.241034,0.0119836,0.268037,0.314515,0.0843016,0.034693,292,76
1776,943.554,808.494,894.237,0.453687,-0.48357,-0.748551,0.00904913,0.208092,0.146732,0.0305337,0.0235081,316,41
1910,948.929,813.984,893.76,-0.965548,0.249505,-0.0739183,0.0123754,0.210543,0.312992,0.0658981,0.0493936,104,85
1775,947.025,813.315,896.367,0.682305,-0.68506,-0.255252,0.0182119,0.283604,0.17353,0.049214,0.0283001,315,75
1772,949.784,815.795,895.352,0.526269,-0.255236,-0.811108,0.0263026,0.222339,0.192912,0.0428918,0.0218724,295,35
1771,944.488,810.057,895.598,0.225162,-0.973929,-0.0276296,0.0165764,0.42715,0.479492,0.204815,0.126587,346,88
1769,952.697,820.246,895.006,-0.676502,0.578575,-0.455626,0.0132732,0.373957,0.134941,0.0504622,0.0384952,130,62
1766,948.363,813.295,894.016,-0.973083,0.0459057,0.225838,0.0283258,0.312665,0.382005,0.11944,0.0687592,272,76
