Index, CenterX, CenterY, CenterZ, NormalX, NormalY, NormalZ, RMS, Horiz_ext, Vert_ext, Surf_ext, Surface, Dip dir., Dip,Set
1918,952.721,822.12,893.999,-0.841451,-0.299406,-0.449796,0.0324452,1.80183,1.87846,3.38467,1.73786,70,63,
1870,950.799,817.445,893.892,-0.646102,0.376861,-0.663722,0.0294338,1.16471,0.589571,0.686681,0.351069,120,48,2
1263,942.805,809.173,896.133,-0.656524,0.219712,-0.721597,0.0206678,0.938261,0.510928,0.479384,0.215597,108,43,2
1816,948.903,816.261,895.962,-0.692494,0.0437986,-0.720093,0.0265113,2.24413,1.59909,3.58857,1.58482,93,43,2
1738,937.362,805.869,896.352,0.156005,-0.947828,0.278001,0.0293238,0.85016,1.22087,1.03794,0.474688,170,73,3
1921,936.459,806.823,893.237,0.479812,-0.813614,-0.32835,0.0171653,0.730075,0.592946,0.432895,0.270569,329,70,1
1995,945.536,811.883,897.473,-0.562788,0.466898,-0.682111,0.0407665,1.4333,0.545108,0.781302,0.284824,129,46,2
1739,943.334,809.324,897.289,0.0484734,-0.862877,0.503083,0.0195248,0.708139,0.926791,0.656297,0.272332,176,59,3
1565,939.248,806.916,894.912,-0.514353,-0.836648,0.188311,0.0262852,0.983615,0.524276,0.515685,0.267564,211,79,4
2084,947.727,811.998,893.167,-0.413933,0.77044,-0.484853,0.0207607,1.02485,0.621298,0.636738,0.367195,151,60,3
1976,952.241,819.661,893.976,-0.639956,0.691418,-0.335257,0.0290142,0.554703,1.04198,0.577992,0.282648,137,70,2
1985,938.764,806.446,896.684,0.450275,-0.892882,-0.00385776,0.0339946,2.50564,2.41945,6.06226,2.0735,333,89,
1873,948.09,815.085,897.705,-0.898341,0.307779,-0.313459,0.0317877,1.00504,0.646211,0.64947,0.430025,108,71,2
2025,952.533,822.897,894.822,0.661094,-0.45102,-0.599612,0.0112309,1.92229,2.12724,4.08918,1.62012,304,53,1
1909,939.882,806.789,896.728,0.0351011,-0.978144,0.204943,0.0394589,1.11913,1.50336,1.68246,0.448588,177,78,3
1928,952.829,820.602,893.468,0.680952,-0.465482,-0.565359,0.0155074,0.934057,1.10904,1.0359,0.543853,304,55,1
1699,952.657,823.405,893.565,-0.514309,0.344307,-0.785455,0.0304516,0.958316,1.6222,1.55458,0.841555,123,38,2
2060,950.006,815.787,894.187,0.813022,-0.418267,-0.405028,0.0282903,1.07526,0.702418,0.755283,0.370403,297,66,1
2077,950.087,815.74,894.531,-0.950271,0.311076,-0.0147233,0.0380094,1.23868,0.65516,0.811531,0.369089,108,89,
1548,945.201,810.702,895.85,-0.564711,0.441636,-0.69718,0.0189899,0.949366,1.03453,0.982146,0.282467,128,45,2
1695,952.532,819.91,893.24,0.673497,-0.455537,-0.582141,0.0121509,0.779672,0.58996,0.459975,0.309477,304,54,1
2019,948.762,814.243,895.281,0.685419,-0.470426,-0.555789,0.012994,0.708404,0.719272,0.509536,0.351701,304,56,1
1715,938.186,808.168,893.199,0.0223704,-0.878686,0.476876,0.0181802,1.00003,0.558023,0.558039,0.421544,178,61,3
1791,944.88,810.276,895.482,-0.633914,0.717395,-0.288959,0.0289556,0.960354,0.964486,0.926248,0.421669,138,73,2
1694,937.454,806.031,895.445,0.507369,-0.562427,-0.65288,0.0269695,0.823581,0.85236,0.701988,0.258741,317,49,1
916,936.588,806.195,897.597,-0.372862,0.595546,-0.711547,0.0234947,0.735158,0.837227,0.615494,0.297289,147,44,2
1840,941.7,808.945,894.767,-0.216156,-0.897617,0.384136,0.0183093,0.728932,0.662388,0.482836,0.275443,193,67,3
2002,947.402,812.026,894.447,-0.659603,0.742593,-0.116103,0.0312204,0.680264,0.883166,0.600786,0.264635,138,83,
2044,949.223,814.519,893.467,-0.918492,0.169602,-0.357223,0.0352776,1.00001,0.748468,0.748475,0.341907,100,69,2
2052,952.139,821.966,896.512,-0.847118,0.514028,0.134782,0.0252444,2.68739,0.804268,2.16139,0.892648,301,82,1
